 INFO  Accepting connections at http://localhost:3002
 HTTP  6/16/2026 7:57:20 PM ::1 GET /
 HTTP  6/16/2026 7:57:20 PM ::1 Returned 304 in 63 ms
 HTTP  6/16/2026 7:57:20 PM ::1 GET /assets/stylesheets/main.9f615399.min.css
 HTTP  6/16/2026 7:57:20 PM ::1 Returned 304 in 5 ms
 HTTP  6/16/2026 7:57:20 PM ::1 GET /assets/stylesheets/palette.649f08f9.min.css
 HTTP  6/16/2026 7:57:20 PM ::1 GET /assets/javascripts/bundle.4e0fa4ba.min.js
 HTTP  6/16/2026 7:57:20 PM ::1 Returned 304 in 6 ms
 HTTP  6/16/2026 7:57:20 PM ::1 Returned 304 in 6 ms
 HTTP  6/16/2026 7:57:20 PM ::1 GET /search/search_index.json
 HTTP  6/16/2026 7:57:20 PM ::1 Returned 304 in 4 ms
 HTTP  6/16/2026 7:57:20 PM ::1 GET /assets/javascripts/workers/search.a264c092.min.js
 HTTP  6/16/2026 7:57:20 PM ::1 Returned 304 in 2 ms
 HTTP  6/16/2026 10:43:01 PM ::1 GET /
 HTTP  6/16/2026 10:43:01 PM ::1 Returned 304 in 16 ms
 HTTP  6/16/2026 10:43:01 PM ::1 GET /assets/stylesheets/main.9f615399.min.css
 HTTP  6/16/2026 10:43:01 PM ::1 Returned 304 in 3 ms
 HTTP  6/16/2026 10:43:01 PM ::1 GET /assets/stylesheets/palette.649f08f9.min.css
 HTTP  6/16/2026 10:43:01 PM ::1 GET /assets/javascripts/bundle.4e0fa4ba.min.js
 HTTP  6/16/2026 10:43:01 PM ::1 Returned 304 in 4 ms
 HTTP  6/16/2026 10:43:01 PM ::1 Returned 304 in 4 ms
 HTTP  6/16/2026 10:43:01 PM ::1 GET /search/search_index.json
 HTTP  6/16/2026 10:43:01 PM ::1 Returned 304 in 1 ms
 HTTP  6/16/2026 10:43:01 PM ::1 GET /assets/javascripts/workers/search.a264c092.min.js
 HTTP  6/16/2026 10:43:01 PM ::1 Returned 304 in 0 ms
 HTTP  6/16/2026 10:45:37 PM ::1 GET /
 HTTP  6/16/2026 10:45:37 PM ::1 Returned 304 in 4 ms
 HTTP  6/16/2026 10:45:37 PM ::1 GET /assets/stylesheets/main.9f615399.min.css
 HTTP  6/16/2026 10:45:37 PM ::1 Returned 304 in 2 ms
 HTTP  6/16/2026 10:45:37 PM ::1 GET /assets/stylesheets/palette.649f08f9.min.css
 HTTP  6/16/2026 10:45:37 PM ::1 Returned 304 in 1 ms
 HTTP  6/16/2026 10:45:37 PM ::1 GET /assets/javascripts/bundle.4e0fa4ba.min.js
 HTTP  6/16/2026 10:45:37 PM ::1 Returned 304 in 1 ms
 HTTP  6/16/2026 10:45:37 PM ::1 GET /search/search_index.json
 HTTP  6/16/2026 10:45:37 PM ::1 Returned 304 in 1 ms
 HTTP  6/16/2026 10:45:37 PM ::1 GET /assets/javascripts/workers/search.a264c092.min.js
 HTTP  6/16/2026 10:45:37 PM ::1 Returned 304 in 1 ms
 HTTP  6/16/2026 10:45:59 PM ::1 GET /
 HTTP  6/16/2026 10:45:59 PM ::1 Returned 304 in 1 ms
 HTTP  6/16/2026 10:45:59 PM ::1 GET /assets/stylesheets/main.9f615399.min.css
 HTTP  6/16/2026 10:45:59 PM ::1 Returned 304 in 1 ms
 HTTP  6/16/2026 10:45:59 PM ::1 GET /assets/stylesheets/palette.649f08f9.min.css
 HTTP  6/16/2026 10:45:59 PM ::1 Returned 304 in 0 ms
 HTTP  6/16/2026 10:45:59 PM ::1 GET /assets/javascripts/bundle.4e0fa4ba.min.js
 HTTP  6/16/2026 10:45:59 PM ::1 Returned 304 in 1 ms
 HTTP  6/16/2026 10:45:59 PM ::1 GET /search/search_index.json
 HTTP  6/16/2026 10:45:59 PM ::1 Returned 304 in 1 ms
 HTTP  6/16/2026 10:45:59 PM ::1 GET /assets/javascripts/workers/search.a264c092.min.js
 HTTP  6/16/2026 10:45:59 PM ::1 Returned 304 in 1 ms
 HTTP  6/16/2026 10:46:51 PM ::1 GET /
 HTTP  6/16/2026 10:46:51 PM ::1 Returned 304 in 1 ms
 HTTP  6/16/2026 10:46:51 PM ::1 GET /assets/stylesheets/main.9f615399.min.css
 HTTP  6/16/2026 10:46:51 PM ::1 Returned 304 in 1 ms
 HTTP  6/16/2026 10:46:51 PM ::1 GET /assets/stylesheets/palette.649f08f9.min.css
 HTTP  6/16/2026 10:46:51 PM ::1 Returned 304 in 3 ms
 HTTP  6/16/2026 10:46:51 PM ::1 GET /assets/javascripts/bundle.4e0fa4ba.min.js
 HTTP  6/16/2026 10:46:51 PM ::1 Returned 304 in 1 ms
 HTTP  6/16/2026 10:46:51 PM ::1 GET /search/search_index.json
 HTTP  6/16/2026 10:46:51 PM ::1 Returned 304 in 1 ms
 HTTP  6/16/2026 10:46:51 PM ::1 GET /assets/javascripts/workers/search.a264c092.min.js
 HTTP  6/16/2026 10:46:51 PM ::1 Returned 304 in 1 ms
 HTTP  6/16/2026 10:47:23 PM ::1 GET /
 HTTP  6/16/2026 10:47:23 PM ::1 Returned 304 in 2 ms
 HTTP  6/16/2026 10:47:23 PM ::1 GET /assets/stylesheets/main.9f615399.min.css
 HTTP  6/16/2026 10:47:23 PM ::1 Returned 304 in 9 ms
 HTTP  6/16/2026 10:47:23 PM ::1 GET /assets/stylesheets/palette.649f08f9.min.css
 HTTP  6/16/2026 10:47:23 PM ::1 GET /assets/javascripts/bundle.4e0fa4ba.min.js
 HTTP  6/16/2026 10:47:23 PM ::1 Returned 304 in 2 ms
 HTTP  6/16/2026 10:47:23 PM ::1 Returned 304 in 2 ms
 HTTP  6/16/2026 10:47:23 PM ::1 GET /search/search_index.json
 HTTP  6/16/2026 10:47:23 PM ::1 Returned 304 in 1 ms
